"ID","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","Low shear visc","High shear visc","Toughness","Stress at break","Strain at break"
"0-10-0-30-10-0-0-0-0-50",0.664864192813729,0.51738990863152,0.368375388967302,0.259986387335409,0.181732509202897,0.137839319514687,0.121193240231477,0.109442759789122,0.0749631621395471,0.0475779641750207,0.0191752845088241,0.00510153951105,0.00104514868725651,0.000270415208235494,0.000125123261875046,"","","","",""
"0-10-0-30-0-10-0-0-50-0",0.424218453511056,0.48742688509284,0.465188435475328,0.400369544496649,0.311018587616403,0.225902811844434,0.170810471797661,0.136621222803374,0.0868492396258772,0.0491154054354558,0.01389229412311,0.00174868936789456,0.000520016699853255,0.000158425748701342,0.0000441532913244088,"","","","",""
"0-10-0-30-0-10-0-0-0-50",0.64155778259812,0.529014046581009,0.394129960271307,0.280303017225441,0.187888344656109,0.129620796832046,0.102716296376931,0.087196359831327,0.0569266554664836,0.0324632641701277,0.00926247191583801,0.00126048244643491,0.00042976061819789,0.0001887370569745,0.0000958090332488244,"","","","",""
"0-10-0-30-0-0-10-0-50-0",0.358768062888968,0.44666169498906,0.461299533486006,0.430824647114938,0.356924525830826,0.265736330220483,0.197736398730978,0.154110495917715,0.0965756752892407,0.0542706010060759,0.0153227760725781,0.00192871158063362,0.000573550825860758,0.000174735194140698,0.00004869873738811,"","","","",""
"0-10-0-30-0-0-10-0-0-50",0.626597433318661,0.516058170406334,0.394747139577337,0.297494258321931,0.212974753059352,0.151424719464485,0.117555163257925,0.0968971644965171,0.0623277755930071,0.0353189636528812,0.0100593254124326,0.00136889480106017,0.000466723735515247,0.000204970070619014,0.00010404943589644,"","","","",""
"0-10-0-30-0-0-0-10-50-0",0.353970900674443,0.437147834472816,0.443426640251898,0.412290056614286,0.350760022913075,0.279323926531917,0.229210040774042,0.19428809920579,0.131015828231739,0.0845789301031015,0.0349273180211154,0.0105477858108663,0.00255389985760789,0.000309591386867283,0.0000639212393995265,"","","","",""
"0-10-0-30-0-0-0-10-0-50",0.665121437662651,0.517568048346812,0.368446771571914,0.259902215528437,0.181454198516691,0.13715492680114,0.11997919799292,0.10862627381254,0.0752469369417112,0.0488953403576749,0.0202271461035142,0.00618513842087538,0.00157560952521187,0.000285358275391271,0.000121555748501588,"","","","",""
"0-10-0-10-30-0-0-0-50-0",0.35963865022223,0.444232119588946,0.450855694735346,0.419820405926901,0.357054186777316,0.275953399067682,0.211712267835127,0.165244129490993,0.101430946048434,0.0692993458129538,0.0500072433220115,0.0207194540080677,0.00336789027608283,0.000388545255074354,0.0000842069455890387,"","","","",""
"0-10-0-10-30-0-0-0-0-50",0.668314396914808,0.520119118724426,0.37042998080149,0.261706823676013,0.182737934482486,0.133398999585968,0.108596286904505,0.090968556102948,0.0576909610827875,0.0397245215957864,0.0285435217235487,0.0118757228805057,0.00202082622861858,0.000328617182736924,0.000133038695359247,"","","","",""
"0-10-0-10-0-30-0-0-50-0",0.477555097590353,0.523087735463406,0.477145394736569,0.384856765595874,0.272838883397906,0.172976972888035,0.107766989918517,0.0709945934406181,0.0359192062069529,0.0145668857390209,0.00431805829648703,0.000850263564801928,0.00029119721364395,0.0000924268486327266,0.0000269070182605204,"","","","",""
